ssc_name_2016,study_region,dwelling,person,closest_pos,closest_pos_grt_1.5ha,local_employment
Sydney,Sydney,8763,16867,179.4819812,331.7725294,70.31876123
Sydney Olympic Park,Sydney,847,1728,135.317369,192.6591542,16.86851211
Sylvania,Sydney,4091,10445,425.1972445,606.9913735,29.69631023
Sylvania Waters,Sydney,1185,3171,222.5220856,260.1279112,32.37296574
Tacoma,Sydney,203,633,228.9912653,228.9912653,58.96877133
Tacoma South,Sydney,100,249,29.77379928,29.77379928,45.96774194
Tahmoor,Sydney,1659,4315,943.557739,1531.073604,38.61794441
Tamarama,Sydney,755,1624,157.1710519,363.8064867,29.12175753
Taren Point,Sydney,732,1725,275.7069497,394.1400452,31.47373368
Tascott,Sydney,703,1622,223.9333432,339.6973244,48.13143039
Telopea,Sydney,2325,5415,162.8779323,256.5740401,14.89186579
Tempe,Sydney,1364,3545,254.2433261,341.8294001,16.49340907
Tennyson Point,Sydney,452,1212,239.6851521,321.0238623,34.28045408
Terrey Hills,Sydney,1008,3021,188.0466686,365.5036014,45.12930372
Terrigal,Sydney,5268,11323,333.5913205,512.0541795,64.87546709
The Entrance,Sydney,3163,4000,240.1630906,293.8941745,57.63230957
The Entrance North,Sydney,888,1481,198.5324771,216.3360749,61.08990118
The Oaks,Sydney,582,1682,400.8748256,992.8502917,23.50629602
The Ponds,Sydney,3522,11707,173.9394959,330.2128566,11.56018122
The Rocks (Sydney - NSW),Sydney,599,731,149.626904,384.9323691,69.10755299
Thirlmere,Sydney,1138,3026,327.5384224,430.7937024,37.29413019
Thornleigh,Sydney,2925,8467,266.2272421,293.2715049,24.6549323
Toongabbie (NSW),Sydney,5008,14324,192.7173005,399.7250198,22.21121789
Toowoon Bay,Sydney,364,529,300.1445036,538.1828186,59.77653631
Toukley,Sydney,2233,4375,248.9616008,300.9147881,61.35307185
Tregear,Sydney,1382,3888,202.6160817,398.5548135,28.78487579
Tuggerah,Sydney,379,888,134.0976395,145.9712485,50.83809067
Tuggerawong,Sydney,543,1286,135.539305,135.5409561,57.05416205
Tumbi Umbi,Sydney,1897,4897,360.0753825,455.0089736,54.78841535
Turramurra,Sydney,4417,11920,263.7577472,505.2856633,27.02290821
Turrella,Sydney,886,2511,326.654571,424.7145265,15.3667335
Ultimo,Sydney,3657,8233,94.06197852,334.323355,70.81892843
Umina Beach,Sydney,7608,16744,485.9684443,678.6372883,59.84688989
Valley Heights,Sydney,444,1217,546.4992055,1557.371472,32.41555581
Varroville,Sydney,34,118,2027.508651,2355.684256,46.15384615
Vaucluse,Sydney,3781,9307,190.9347171,457.2501101,38.67046913
Villawood,Sydney,2001,5543,272.1519838,487.3883037,23.40711566
Vineyard,Sydney,487,1165,844.9532975,844.9532975,32.43455417
Voyager Point,Sydney,514,1669,229.5934451,229.5934451,30.38195803
Wadalba,Sydney,1057,2842,243.3791716,321.1397839,50.31070006
Wagstaffe,Sydney,187,228,87.09297324,87.09297324,84.05797101
Wahroonga,Sydney,6045,17302,265.5631129,415.1851129,28.45587683
Waitara,Sydney,2576,5926,135.8471343,322.1357524,20.38449094
Wakeley,Sydney,1457,4728,221.2052182,313.1814438,28.26575449
Wallacia,Sydney,411,1072,325.7881283,501.1267868,42.72838935
Wamberal,Sydney,2577,6580,293.6921954,394.8419775,60.98342816
Wareemba,Sydney,643,1556,237.7427616,424.230514,20.44254096
Warnervale,Sydney,193,604,358.2392156,717.1715919,59.3177238
Warragamba,Sydney,492,1237,137.5442975,827.9588933,38.97170202
Warrawee,Sydney,1082,2996,266.7360538,721.5660926,27.88162859
Warriewood,Sydney,2538,7267,201.3508163,276.8155677,36.03396661
Warrimoo,Sydney,902,2451,787.333175,1385.618652,27.25326392
Warwick Farm,Sydney,2643,5848,254.3841346,407.8185981,29.69938419
Watanobbi,Sydney,1468,3851,250.7090088,830.7142639,54.6687515
Waterloo (NSW),Sydney,8026,14613,93.47111551,421.7574731,63.58232096
Watsons Bay,Sydney,317,697,50.70955256,65.56654512,41.17165566
Wattle Grove (NSW),Sydney,2906,8950,418.1549055,659.765797,32.65544347
Waverley (NSW),Sydney,1829,4098,233.5318954,285.0341786,26.90512923
Waverton,Sydney,1590,3027,137.6931161,275.3977697,26.77516942
Wentworth Falls,Sydney,2992,6092,374.3908378,391.3282197,63.95126377
Wentworth Point,Sydney,3685,6997,115.8113604,142.4368105,16.07410323
Wentworthville,Sydney,4086,11369,402.9574954,670.7408091,26.20725542
Werrington,Sydney,1741,4023,261.4544332,280.3686708,27.48391566
Werrington County,Sydney,1289,3635,264.7697577,335.6440241,34.48973254
Werrington Downs,Sydney,1131,3253,268.8802399,423.2808788,34.48292598
West Gosford,Sydney,707,1290,94.092114,169.837988,58.98878495
West Hoxton,Sydney,2719,9998,257.3750672,575.1903365,16.73571503
West Pennant Hills,Sydney,5404,16313,290.4860011,409.7477119,20.25208725
West Pymble,Sydney,1789,5274,179.5463915,299.4211822,25.42205061
West Ryde,Sydney,5370,13286,324.729641,455.1649395,27.1556488
Westleigh,Sydney,1558,4455,146.5670566,175.9189289,28.40884433
Westmead,Sydney,5905,15689,173.5764589,269.9213187,26.19243643
Wetherill Park,Sydney,1942,6062,261.2516157,368.7373507,35.453432
Whalan,Sydney,2120,5983,282.3416432,498.8350147,30.71965293
Whale Beach,Sydney,242,253,233.7758936,870.3980754,50.3432358
Wheeler Heights,Sydney,958,2977,241.966366,409.8871735,47.88216191
Wilberforce (NSW),Sydney,722,2000,519.1321737,519.1321737,20.72374066
Wiley Park,Sydney,3461,10149,478.8449639,524.8074712,21.22026116
Willmot,Sydney,849,2422,160.5151774,256.9473633,28.84615989
Willoughby (NSW),Sydney,2504,6516,302.2598873,493.1656027,30.99070754
Willoughby East,Sydney,615,1819,220.0218882,301.9998849,30.56069767
Wilton (NSW),Sydney,416,1355,682.9098328,682.9098328,24.19359086
Windsor (NSW),Sydney,766,1849,239.990708,440.7825314,38.50058204
Windsor Downs,Sydney,368,1181,210.3023532,769.3534623,29.48218536
Winmalee,Sydney,2283,6213,962.8493491,962.8493491,37.82843524
Winston Hills,Sydney,4185,11694,274.2303236,366.006914,28.54262514
Wolli Creek,Sydney,2917,6380,111.9334463,355.8019902,8.722423931
Wollstonecraft,Sydney,4285,8303,189.073791,350.9789033,24.02924127
Woodbine (NSW),Sydney,920,2735,148.8333933,198.2871224,36.77964215
Woodcroft (NSW),Sydney,1902,6424,405.0910319,447.4389237,19.38508662
Woodford (NSW),Sydney,752,1857,711.5618407,731.1399936,46.94315201
Woodpark,Sydney,468,1514,340.6484804,478.971989,26.11870818
Woollahra,Sydney,3641,7384,202.4378128,464.7379745,29.20981321
Woolloomooloo,Sydney,2488,4019,95.44829144,234.8502077,73.69311761
Woolooware,Sydney,1560,3973,311.2274737,377.8925531,41.19126159
Woolwich,Sydney,328,804,94.62699606,141.6227409,26.77052478
Woongarrah,Sydney,1561,4914,208.1533022,310.9671203,55.30480056
Woronora,Sydney,764,2199,139.1814947,151.6610241,24.62748029
Woronora Heights,Sydney,889,2855,127.745475,134.4845616,34.69602115
Woy Woy,Sydney,5130,10672,247.3914051,314.4069976,53.41369907
Woy Woy Bay,Sydney,197,413,909.9852331,909.9852331,56
Wyoming,Sydney,4201,9907,203.2959694,240.3985781,67.27206152
Wyong,Sydney,1976,4361,246.6638061,508.1962495,54.41817502
Wyongah,Sydney,789,2023,238.5994883,326.5794466,61.28223506
Yagoona,Sydney,5937,18033,329.4714953,468.6740095,30.64971617
Yarrawarrah,Sydney,936,2712,182.0144776,246.7594607,29.34771603
Yattalunga (NSW),Sydney,206,542,308.2592143,308.2592143,66.66666667
Yellow Rock (Blue Mountains - NSW),Sydney,342,1041,1320.714701,1320.859731,43.80541377
Yennora,Sydney,520,1599,285.4994597,366.461693,28.5411997
Yowie Bay,Sydney,1060,3072,318.1247129,420.9481129,39.53904538
Zetland,Sydney,5123,10070,103.647114,820.6257983,60.36587416
